record_type,source_dataset,source_file,source_row_no,title,normalized_name,country_raw,country_norm,country_iso3,hs_code_raw,hs_code_norm,keywords_raw,keywords_norm,has_contact,contact_name,contact_email,contact_phone,contact_website,valid_until,source_snapshot_date,distance_from_kr_km,contact_email_estimated
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,126,VIETMYSINGINTERNATIONALJOINTSTOCKCOMPANY(VMSINTERNATIONALJOINTSTOCKCOMPANY),VIETMYSINGINTERNATIONALJOINTSTOCKCOMPANYVMSINTERNATIONALJOINTSTOCKCOMPANY,"NO.76/17/5,PHANTAYHOSTREET,WARD07,PHUNHUANDISTRICT,HOCHIMINHCITY,VIETNAM",베트남,VNM,46443.0,46443.0,화장품및화장용품도매업 | 46443 | VIETMYSINGINTERNATIONALJOINTSTOCKCOMPANY(VMSINTERNATIONALJOINTSTOCKCOMPANY) | VIETMYSINGINTERNATIONALJOINTSTOCKCOMPANY(VMSINTERNATIONALJOINTSTOCKCOMPANY) | 46443,화장품및화장용품도매업 | 46443 | vietmysinginternationaljointstockcompany(vmsinternationaljointstockcompany),1,,contact@greenaroma.vn,8428-6651-6777,www.greenaroma.vn,,2020-08-12,2740.135,False
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,127,ASENKOVIJOINTSTOCKCOMPANY(ASENKOVIJSC),ASENKOVIJOINTSTOCKCOMPANYASENKOVIJSC,"NO.6,LANE70/79/2,VANTRISTREET,VANTRI2GROUP,MINHKHAIWARD,NORTHTULIEMDISTRICT,HANOICITY,VIETNAM",베트남,VNM,46443.0,46443.0,화장품및화장용품도매업 | 46443 | ASENKOVIJOINTSTOCKCOMPANY(ASENKOVIJSC) | ASENKOVIJOINTSTOCKCOMPANY(ASENKOVIJSC) | 46443,화장품및화장용품도매업 | 46443 | asenkovijointstockcompany(asenkovijsc),1,,,849-4242-9789,,,2020-08-12,2740.135,False
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,128,COLUMBUSDANDIVINACOMPANYLIMITED(COLUMBUSDANDIVINACOLTD),COLUMBUSDANDIVINACOMPANYLIMITEDCOLUMBUSDANDIVINACOLTD,"NO.27-29-31,ROAD9A,TRUNGSONRESIDENTIALAREA,BINHHUNGCOMMUNE,BINHCHANHDISTRICT,HOCHIMINHCITY,VIETNAM",베트남,VNM,46443.0,46443.0,화장품및화장용품도매업 | 46443 | COLUMBUSDANDIVINACOMPANYLIMITED(COLUMBUSDANDIVINACOLTD) | COLUMBUSDANDIVINACOMPANYLIMITED(COLUMBUSDANDIVINACOLTD) | 46443,화장품및화장용품도매업 | 46443 | columbusdandivinacompanylimited(columbusdandivinacoltd),1,,chauisland79@yahoo.com,8428-5431-6988,,,2020-08-12,2740.135,False
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,72,ROBANDAINTERNATIONALINC,ROBANDAINTERNATIONAL,8260CAMINOSANTAFESTEASANDIEGOCA92121,네덜란드령 안틸레스,ANT,20423.0,20423.0,화장품제조업 | 20423 | ROBANDAINTERNATIONALINC | ROBANDAINTERNATIONALINC | 20423,화장품제조업 | 20423 | robandainternationalinc,1,,,61-9276-7660,,,2020-08-12,14267.82,False
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,73,BELLAMEBEAUTYINC,BELLAMEBEAUTY,"5910PENWOODLN.DUBLIN,CA94568(대표자자택)","5910PENWOODLN.DUBLIN,CA94568(대표자자택)",,46443.0,46443.0,화장품및화장용품도매업 | 46443 | BELLAMEBEAUTYINC | BELLAMEBEAUTYINC | 46443,화장품및화장용품도매업 | 46443 | bellamebeautyinc,1,,scott@bellame.com,51-0663-7016,www.bellame.com,,2020-08-12,,False
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,74,GSCOSMECEUTICALUSAINC,GSCOSMECEUTICALUSA,"131PULLMANSTLIVERMORE,CA94551","131PULLMANSTLIVERMORE,CA94551",,20423.0,20423.0,화장품제조업 | 20423 | GSCOSMECEUTICALUSAINC | GSCOSMECEUTICALUSAINC | 20423,화장품제조업 | 20423 | gscosmeceuticalusainc,1,,,92-5371-5000,,,2020-08-12,,False
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,75,PRESPERSECORPORATION,PRESPERSE,19SCHOOLHOUSERDSOMERSETNJ08873,소말리아,SOM,20423.0,20423.0,화장품제조업 | 20423 | PRESPERSECORPORATION | PRESPERSECORPORATION | 20423,화장품제조업 | 20423 | prespersecorporation,1,,,73-2356-5200,,,2020-08-12,9142.217,False
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,1,UNILEVERNIGERIAPLC,UNILEVERNIGERIA,"1,BILLINGSWAYOREGUNIKEJALAGOSNIGERIA",나이지리아,NGA,20423.0,20423.0,화장품제조업 | 20423 | UNILEVERNIGERIAPLC | UNILEVERNIGERIAPLC | 20423,화장품제조업 | 20423 | unilevernigeriaplc,1,,consumercare.nigeria@unilever.com,234-1279-3000,www.unilevernigeria.com,,2020-08-12,12414.0,True
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,118,SEOULVIETNAMCOSMETICSJOINTSTOCKSCOMPANY(SOVICOSJSC),SEOULVIETNAMCOSMETICSJOINTSTOCKSCOMPANYSOVICOSJSC,"NO.A5,KIZUNA2FACTORYAREA,LOTB4-3-7-8,TANKIMINDUSTRIALPARK,TANKIMCOMMUNE,CANGIUOCDISTRICT,LONGANPROVINCE,VIETNAM",베트남,VNM,20423.0,20423.0,화장품제조업 | 20423 | SEOULVIETNAMCOSMETICSJOINTSTOCKSCOMPANY(SOVICOSJSC) | SEOULVIETNAMCOSMETICSJOINTSTOCKSCOMPANY(SOVICOSJSC) | 20423,화장품제조업 | 20423 | seoulvietnamcosmeticsjointstockscompany(sovicosjsc),1,,info@sovicos.com,8427-2625-6188,https://sovicos.com,,2020-08-12,2740.135,False
buyer_candidate,한국무역보험공사_화장품 바이어 정보,한국무역보험공사_화장품 바이어 정보_20200812.csv,119,MEEINTRADINGSERVICECOMPANYLIMITED(MEEINCOLTD),MEEINTRADINGSERVICECOMPANYLIMITEDMEEINCOLTD,"SUITE19,FLOOR34,G3BUILDING,VINHOMEGREENBAYURBANAREA,NO.7,THANGLONGBOULEVARD,METRIWARD,SOUTHTULIEMDISTRICT,HANOICITY,VIETNAM",베트남,VNM,46443.0,46443.0,화장품및화장용품도매업 | 46443 | MEEINTRADINGSERVICECOMPANYLIMITED(MEEINCOLTD) | MEEINTRADINGSERVICECOMPANYLIMITED(MEEINCOLTD) | 46443,화장품및화장용품도매업 | 46443 | meeintradingservicecompanylimited(meeincoltd),1,,info@meein.vn,843-8587-5555,http://meein.vn/,,2020-08-12,2740.135,True
