국가명,도시명,영어상품명,유효시작일자,유효종료일자,인콰이어리구분코드명,인콰이어리종류코드명,한글상품명
아르헨티나,,Polyester Staple Fiber 09d Microfiber,2023-10-04,2023-11-30,,상품,Polyester Staple Fiber 09d Microfiber
앙골라,,Polyester Staple Fiber 09d Microfiber,2023-10-04,2023-11-30,,상품,Polyester Staple Fiber 09d Microfiber
안도라,,Hair Deo Refresher,2023-11-22,2023-12-22,,상품,
보네르섬,,Cheonil Red Ginseng Extract,2023-11-24,2023-12-24,,상품,
스페인,,SLAB PANTS,2023-08-29,2023-11-27,,상품,
인도,,Quantum Bio Aronia Powder,2023-08-30,2023-11-28,,상품,
인도,,Quantum Bio Aronia Powder,2023-08-30,2023-11-28,,상품,
스페인,,Lupine Gel Polish Jjinttak Collection Series 108 Colors,2023-08-30,2023-11-28,,상품,Lupine Gel Polish Jjinttak Collection Series 100 Colors
스페인,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,2023-08-30,2023-11-28,,상품,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure
스페인,,Lupine Gel Polish Jjinttak Collection Series 108 Colors,2023-08-30,2023-11-28,,상품,Lupine Gel Polish Jjinttak Collection Series 100 Colors
스페인,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,2023-08-30,2023-11-28,,상품,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure
스페인,,Lupine Gel Polish Jjinttak Collection Series 108 Colors,2023-08-30,2023-11-28,,상품,Lupine Gel Polish Jjinttak Collection Series 100 Colors
스페인,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,2023-08-30,2023-11-28,,상품,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure
스페인,,Lupine Gel Polish Jjinttak Collection Series 108 Colors,2023-08-30,2023-11-28,,상품,Lupine Gel Polish Jjinttak Collection Series 100 Colors
스페인,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,2023-08-30,2023-11-28,,상품,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure
오스트레일리아,,Lupine Milky Way Gel Magnet Gel Cats Eye,2023-08-30,2023-11-28,,상품,Lupine Milky Way Gel Magnet Gel Cats Eye
영국,,Lupine Diamond Glitter Gel,2023-08-30,2023-11-28,,상품,Lupine Diamond Glitter Gel
영국,,Lupine Perfumed Cuticle Oil Pen,2023-08-30,2023-11-28,,상품,Lupine Perfumed Cuticle Oil Pen
영국,,Dr Kralle 3 Pieces Foot Exfoliator Kit,2023-08-30,2023-11-28,,상품,Dr Kralle 3 Pieces Foot Exfoliator Kit
영국,,Dr Kralle Kralle Kit for Ingrown Toenail Brace System,2023-08-30,2023-11-28,,상품,Dr Kralle Kralle Kit for Ingrown Toenail Brace System
영국,,Dr Kralle Pedi Saver Nail Serum for Damaged Nail,2023-08-30,2023-11-28,,상품,Dr Kralle Pedi Saver Nail Serum for Damaged Nail
미국,애리조나,Knit Fabric,2023-11-28,2024-01-27,,상품,Knit Fabric
영국령 인도양 지역,전지역,Torsion Spring,2023-11-28,2023-12-28,,상품,
미국,애리조나,Hair Deo Refresher,2023-11-28,2024-01-27,,상품,
스페인,,BIOCREDIT COVID19 Ag Home Test Nasal,2023-08-30,2023-11-28,,상품,BIOCREDIT COVID19 Ag Home Test Nasal
스페인,,BIOCREDIT Malaria Ag Pf/Pv (pLDH/pLDH),2023-08-30,2023-11-28,,상품,BIOCREDIT Malaria Ag PfPv pLDHpLDH
스페인,,Lupine Gel Polish Jjinttak Collection Series 108 Colors,2023-08-30,2023-11-28,,상품,Lupine Gel Polish Jjinttak Collection Series 100 Colors
스페인,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,2023-08-30,2023-11-28,,상품,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure
아랍에미리트,,SPAD with Internal TEC,2023-08-30,2023-11-28,,상품,
아랍에미리트,,Lupine Finger Off Moisture Hand Mask Pack,2023-08-30,2023-11-28,,상품,Lupine Finger Off Moisture Hand Mask Pack
아랍에미리트,,Lupine Eyelash Serum for Lash Growth,2023-08-30,2023-11-28,,상품,Lupine Eyelash Serum for Lash Growth
오스트레일리아,,Door Hinge Assembly Machine,2023-08-30,2023-11-28,,상품,
케냐,,Eyelet Insertion Machine,2023-08-30,2023-11-28,,상품,
케냐,,Flange Type Reaction Torque Sensor,2023-08-30,2023-11-28,,상품,
아랍에미리트,,Far Infrared Heating Sheet which,2023-08-30,2023-11-28,,상품,
앤티가 바부다,전지역,GILMONG,2023-11-29,2023-12-29,,상품,
앙골라,전지역,GILMONG,2023-11-29,2023-12-29,,상품,
아루바,전지역,Polyester Staple Fiber Solid White Black,2023-11-29,2023-12-29,,상품,Polyester Staple Fiber Solid White Black
오스트리아,전지역,GILMONG,2023-11-29,2023-12-29,,상품,
알바니아,전지역,동영상 테스트,2023-12-04,2024-01-03,,상품,동영상 테스트
미국,애리조나,Hair Deo Refresher,2023-12-04,2024-02-02,,상품,
스페인,,One Namepen 12 Colors,2023-12-05,2024-03-04,,상품,
스페인,,One Namepen 12 Colors,2023-12-05,2024-03-04,,상품,
스페인,,One Namepen 12 Colors,2023-12-05,2024-03-04,,상품,
대한민국,전지역,Office Chair Conference Chair Engineering Plastic Chair,2023-12-05,2024-01-04,바이어,상품,
대한민국,전지역,Office Chair Conference Chair Engineering Plastic Chair,2023-12-05,2024-01-04,바이어,상품,
스페인,,One Namepen 12 Colors,2023-12-05,2024-03-04,,상품,
스페인,,Bonita Yeonsoo Hazel Wide Pants,2023-12-05,2024-03-04,,상품,
대한민국,전지역,DDR4 2666 8GB PC4-21300Unbuffered CL19 UDIMM Desktop PC Computer Memory RAM,2023-12-06,2024-01-05,바이어,상품,
아프가니스탄,전지역,상품명 국문으로 231204,2023-12-06,2024-01-05,바이어,상품,상품명 국문으로 테스트 중
아루바,전지역,상품 등록 테스트 231205,2023-12-06,2024-01-05,바이어,상품,상품 등록 테스트 231205
아프가니스탄,전지역,상품 테스트를 진행합니다.,2023-12-06,2024-06-03,바이어,상품,상품 테스트를 진행합니다.
알바니아,전지역,Bangjja Yugi Comb Gwalsa,2023-12-07,2024-01-06,바이어,상품,
오스트레일리아,전지역,Annapet Deodorizer Made with Electrolytic Ion Water That Eliminates Pet Odors,2023-12-07,2024-01-06,바이어,상품,
벨리즈,전지역,상품명 국문으로 231204,2023-12-07,2024-01-06,바이어,상품,상품명 국문으로 테스트 중
칠레,전지역,Annapet Deodorizer Made with Electrolytic Ion Water That Eliminates Pet Odors,2023-12-07,2024-01-06,바이어,상품,
안도라,전지역,Annapet Deodorizer Made with Electrolytic Ion Water That Eliminates Pet Odors,--,--,바이어,상품,
안도라,전지역,Abs Terminal Block,2023-12-07,2024-01-06,바이어,상품,
오스트리아,전지역,Moro Berry,--,--,바이어,상품,Eaah Moro Berry
아프가니스탄,전지역,Interpixel IPQ3245 32 QHD Curved 165Hz Gaming Monitor with Multi Stand,--,--,바이어,상품,
베트남,빈딘,Farming System Software NCS PRO,2023-12-08,2024-02-06,바이어,상품,
우크라이나,전지역,Farming System Software NCS PRO,--,--,바이어,상품,
,전지역,Farming System Software NCS PRO,2023-12-08,2024-03-07,바이어,상품,
