record_type,source_dataset,source_file,source_row_no,title,normalized_name,country_raw,country_norm,country_iso3,hs_code_raw,hs_code_norm,keywords_raw,keywords_norm,has_contact,contact_name,contact_email,contact_phone,contact_website,valid_until
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,1,Hair Deo Refresher,,안도라,안도라,,,,Hair Deo Refresher | None,hair deo refresher | none,False,,,,,2023-12-22
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,2,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,,스페인,스페인,,,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure | Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,dr kralle gel flat gel system for ingrown toenail pedicure | dr kralle gel flat gel system for ingrown toenail pedicure,False,,,,,2023-11-28
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,3,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,,스페인,스페인,,,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure | Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,dr kralle gel flat gel system for ingrown toenail pedicure | dr kralle gel flat gel system for ingrown toenail pedicure,False,,,,,2023-11-28
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,4,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,,스페인,스페인,,,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure | Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,dr kralle gel flat gel system for ingrown toenail pedicure | dr kralle gel flat gel system for ingrown toenail pedicure,False,,,,,2023-11-28
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,5,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,,스페인,스페인,,,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure | Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,dr kralle gel flat gel system for ingrown toenail pedicure | dr kralle gel flat gel system for ingrown toenail pedicure,False,,,,,2023-11-28
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,6,Lupine Perfumed Cuticle Oil Pen,,영국,영국,,,,Lupine Perfumed Cuticle Oil Pen | Lupine Perfumed Cuticle Oil Pen,lupine perfumed cuticle oil pen | lupine perfumed cuticle oil pen,False,,,,,2023-11-28
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,7,Dr Kralle Kralle Kit for Ingrown Toenail Brace System,,영국,영국,,,,Dr Kralle Kralle Kit for Ingrown Toenail Brace System | Dr Kralle Kralle Kit for Ingrown Toenail Brace System,dr kralle kralle kit for ingrown toenail brace system | dr kralle kralle kit for ingrown toenail brace system,False,,,,,2023-11-28
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,8,Dr Kralle Pedi Saver Nail Serum for Damaged Nail,,영국,영국,,,,Dr Kralle Pedi Saver Nail Serum for Damaged Nail | Dr Kralle Pedi Saver Nail Serum for Damaged Nail,dr kralle pedi saver nail serum for damaged nail | dr kralle pedi saver nail serum for damaged nail,False,,,,,2023-11-28
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,9,Hair Deo Refresher,,미국,미국,,,,Hair Deo Refresher | None,hair deo refresher | none,False,,,,,2024-01-27
buyer_candidate,대한무역투자진흥공사_buyKOREA인콰이어리,대한무역투자진흥공사_인콰이어리_정보_20251127,10,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,,스페인,스페인,,,,Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure | Dr Kralle Gel Flat Gel System for Ingrown Toenail Pedicure,dr kralle gel flat gel system for ingrown toenail pedicure | dr kralle gel flat gel system for ingrown toenail pedicure,False,,,,,2023-11-28
