title,date,country,description,keywords,categories,source_url,page,source_category
"We Buy Skin Care,Cosmetics","17 Apr, 2026",Nigeria,"We're looking for a Korean manufacturer of Skin CareCosmetics.
- Specification of the item: 
* Product: SkincareCosmetics 
* Product segment: Ampoule, Sunscreen, Toners, Moisturizers and other skincare products 
* Product features: Product has to target skin issues like sun-burn with the ability to clear sun-burns, skin hydration, remedy for wrinkle and fine lines care, acne, black heads and wh","Skin Care,Cosmetics","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skin-Care--24458969.html,1,
We BuyCosmeticProducts,"31 Mar, 2026",India,"We're looking forCosmeticProducts from Korea.
Please share the Quotation with MOQ.
- Specification: NA
- Usage / Volume of Order: 1,000",Cosmetic,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Cosmetic-Products--24458359.html,1,
We BuyCosmetics,"26 Mar, 2026",Ukraine,"We're looking for Skin care.
- Terms and Conditions : conditions are discussed individually 
- Quantity: starting from 1000 pcs 
Smart Beauty Ukraine is a Ukrainian company that occupies a niche of retail of professionalcosmetics for face, scalp, hair, body and oral cavity care, and also has its own online store and a network of offline boutiques in the city of Lutsk. 
Smart Beauty is a direct i",Cosmetics,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Cosmetics--24458152.html,1,
We Buy ColourCosmetics,"26 Mar, 2026",India,"We're looking for ColourCosmetics.
- Specification: ColourCosmetics
- Usage / Volume of Order: To be decided",Colour Cosmetics,"Personal Care,Makeup Set",https://importer.ec21.com/buy-lead/We-Buy-Colour-Cosmetics--24458150.html,1,
"We Buy Skincare,Cosmetic","3 Mar, 2026",Pakistan,"We're looking for Skincare,Cosmetic.
- Details: Whitening, wrinkle free, suncare 
- Quantity: will be discussed 
- Main Item for Sale: Skincare,Cosmetic, Consumer Items 
- Major importing country: Korea, China","Skincare,Cosmetic","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skincare-Cosmetic--24457212.html,1,
We Buy Skin CareCosmetics,"26 Feb, 2026",Tanzania,"We're looking for Skin carecosmetics.
- Details: Anti aging, cleanser, serum, toner, sunscreen
- Payment Condition: T.T
- Quantity: MOQ","Skin Care,Cosmetics","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skin-Care-Cosmetics--24457104.html,1,
"We Buy Skin Care,Cosmetics","26 Feb, 2026",Tanzania,"We're looking for Skin care,Cosmetics.
- Details: Anti aging, cleanser, serum, toner, sunscreen
- Payment Condition: T.T
- Quantity: MOQ","Skin Care,Cosmetics","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skin-Care--24457098.html,1,
We Buy MedicalCosmetics,"12 Feb, 2026",Uzbekistan,"We're looking for Korean manufacturer of medicalcosmetics.
- Specification of the item : Skin Care 
- Payment: T/T 
- Quantity: 40ft container",Medical cosmetics,"Personal Care,Other Skin Care",https://importer.ec21.com/buy-lead/We-Buy-Medical-Cosmetics--24456680.html,1,
We Buy Skin CareCosmetics,"16 Jan, 2026",Pakistan,"We're looking for Skin CareCosmetics.
- Specification of the item
: PDRN serum, PDRN cica cream, Whitening cream, Anti wrinkle serum
- Usage /Application: Used to take care of Skin
- Payment condition: LC
- Quantity: Will be Negotiated",Skin Care,"Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skin-Care-Cosmetics--24455669.html,1,
We Buy Hair Care andCosmetics,"16 Jan, 2026",Algeria,"We're looking for a Korean supplier of Hair care andcosmetics not only final product but also local production.
- Payment condition: L/C
- Quantity: To be added later.
- Korean supplier: open to discuss with several suppliers mainly those interested by filling and conditioning in Algeria.","Hair care,Cosmetics","Chemicals,Hair Care Chemicals",https://importer.ec21.com/buy-lead/We-Buy-Hair-Care-and--24455670.html,1,
"We Buy Skincare,Cosmetics","16 Jan, 2026",United States,"We’re looking for skincarecosmetics.
- Products: Skincarecosmetics (sports ampoules, creams, etc.)
- Quantity: Approx. 1,000 units per year
(Final quantity to be determined through discussion between the buyer and Korean suppliers)","skincare,Cosmetics","Personal Care,Skin Care Set",https://importer.ec21.com/buy-lead/We-Buy-Skincare-Cosmetics--24455671.html,1,
We Buy Horse Fat forCosmetics,"2 Jan, 2026",Bulgaria,"We’re looking for a Korean manufacturer supplying horse fat forcosmeticuse.
The product should be industrially refined and deodorized horse fat, suitable for use as acosmeticraw material. We are seeking a reliable supplier that can provide consistent quality meetingcosmeticmanufacturing standards.
Product specification:
- Material: Horse fat
- Processing: Industrially refined, odorless
-",Horse fat,"Chemicals,Cosmetic Raw Materials",https://importer.ec21.com/buy-lead/We-Buy-Horse-Fat-for--24455153.html,1,
We Buy Collagen CreamCosmetics,"2 Jan, 2026",India,"We’re looking for collagen creamcosmetics for distribution in the Indian market.
We are House Boutique Ventures Private Limited, a leading distributor and channel partner of e-commerce services based in Mumbai, India.
We work as a distributor and channel partner for a wide range of products, including regulatory affairs services,cosmeticproducts, skincare items, and beautycosmetics. We acti",Collagen Cream Cosmetics,"Personal Care,Face Cream & Lotion",https://importer.ec21.com/buy-lead/We-Buy-Collagen-Cream-Cosmetics--24455156.html,1,
