record_type,source_dataset,source_file,source_row_no,title,normalized_name,country_raw,country_norm,country_iso3,hs_code_raw,hs_code_norm,keywords_raw,keywords_norm,has_contact,contact_name,contact_email,contact_phone,contact_website,valid_until
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,1,스킨케어 디바이스 및 화장품,,미국,미국,,,,스킨케어 디바이스 및 화장품,스킨케어 디바이스 및 화장품,False,,,,,2024-01-02
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,2,스킨케어 화장품(Skincare cosmetics),,러시아,러시아,,,,스킨케어 화장품(Skincare cosmetics),스킨케어 화장품(skincare cosmetics),False,,,,,2024-01-02
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,3,메이크업 화장품,,브라질,브라질,,,,메이크업 화장품,메이크업 화장품,False,,,,,2024-01-02
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,4,스킨케어 화장품,,인도네시아,인도네시아,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-02
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,5,스킨케어 화장품,,베트남,베트남,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-02
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,6,스킨케어 화장품,,미국,미국,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,7,기타 미용 및 개인 용품,,대한민국,대한민국,,,,기타 미용 및 개인 용품,기타 미용 및 개인 용품,False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,8,스킨케어 세럼,,미국,미국,,,,스킨케어 세럼,스킨케어 세럼,False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,9,스킨케어 디바이스 및 화장품,,미국,미국,,,,스킨케어 디바이스 및 화장품,스킨케어 디바이스 및 화장품,False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,10,스킨케어 화장품(Skincare cosmetics),,러시아,러시아,,,,스킨케어 화장품(Skincare cosmetics),스킨케어 화장품(skincare cosmetics),False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,11,스킨케어 화장품,,필리핀,필리핀,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,12,스킨케어 화장품,,인도네시아,인도네시아,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,13,"보톡스, 필러, 스킨케어 화장품",,필리핀,필리핀,,,,"보톡스, 필러, 스킨케어 화장품","보톡스, 필러, 스킨케어 화장품",False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,14,피부과 / 에스테틱 미용기기,,러시아,러시아,,,,피부과 / 에스테틱 미용기기,피부과 / 에스테틱 미용기기,False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,15,스킨케어 화장품,,베트남,베트남,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-03
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,16,스킨케어 화장품,,우크라이나,우크라이나,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,17,스킨케어 화장품,,폴란드,폴란드,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,18,화장품,,홍콩,홍콩,,,,화장품,화장품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,19,스킨케어 세럼,,미국,미국,,,,스킨케어 세럼,스킨케어 세럼,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,20,스킨케어 디바이스 및 화장품,,미국,미국,,,,스킨케어 디바이스 및 화장품,스킨케어 디바이스 및 화장품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,21,메이크업 화장품,,브라질,브라질,,,,메이크업 화장품,메이크업 화장품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,22,스킨케어 화장품 및 헤어케어 제품,,대만,대만,,,,스킨케어 화장품 및 헤어케어 제품,스킨케어 화장품 및 헤어케어 제품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,23,스킨케어 화장품,,사우디아라비아,사우디아라비아,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,24,스킨케어 화장품,,필리핀,필리핀,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,25,스킨케어 화장품,,인도네시아,인도네시아,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,26,"보톡스, 필러, 스킨케어 화장품",,영국,영국,,,,"보톡스, 필러, 스킨케어 화장품","보톡스, 필러, 스킨케어 화장품",False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,27,"보톡스, 필러, 스킨케어 화장품",,필리핀,필리핀,,,,"보톡스, 필러, 스킨케어 화장품","보톡스, 필러, 스킨케어 화장품",False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,28,스킨케어 화장품,,베트남,베트남,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-04
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,29,스킨케어 화장품,,우크라이나,우크라이나,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-05
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,30,스킨케어 화장품,,폴란드,폴란드,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-05
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,31,스킨케어 세럼,,미국,미국,,,,스킨케어 세럼,스킨케어 세럼,False,,,,,2024-01-05
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,32,스킨케어 디바이스 및 화장품,,미국,미국,,,,스킨케어 디바이스 및 화장품,스킨케어 디바이스 및 화장품,False,,,,,2024-01-05
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,33,스킨케어 화장품(Skincare cosmetics),,러시아,러시아,,,,스킨케어 화장품(Skincare cosmetics),스킨케어 화장품(skincare cosmetics),False,,,,,2024-01-05
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,34,스킨케어 화장품 및 헤어케어 제품,,대만,대만,,,,스킨케어 화장품 및 헤어케어 제품,스킨케어 화장품 및 헤어케어 제품,False,,,,,2024-01-05
buyer_candidate,중소벤처기업진흥공단_GoBizKorea인콰이어리,해외바이어인콰이어리신청_20241230,35,스킨케어 화장품,,필리핀,필리핀,,,,스킨케어 화장품,스킨케어 화장품,False,,,,,2024-01-05
