record_type,source_dataset,source_file,source_row_no,title,normalized_name,country_raw,country_norm,country_iso3,hs_code_raw,hs_code_norm,keywords_raw,keywords_norm,has_contact,contact_name,contact_email,contact_phone,contact_website,valid_until
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,1,lipsticks and cosmetics,Lazada,PH,PH,,330410,330410,lipsticks and cosmetics,lipsticks and cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,2,medical devices & OtC & cosmetics,Medix,IN,IN,,901890,901890,medical devices & OtC & cosmetics,medical devices & otc & cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,3,make up mobikes accessories jewlery art,Pak Estate Marketing,PK,PK,,330499,330499,make up mobikes accessories jewlery art,make up mobikes accessories jewlery art,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,4,Cosmetic,Angellica Herbotics,IN,IN,,330499,330499,Cosmetic,cosmetic,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,5,cosmetics,JM Enterprises,PK,PK,,330499,330499,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,6,cosmetics,abcd,PK,PK,,330499,330499,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,7,cosmetics,Mehran Enterprise sukkur cosmetics and beauty shop beautyparlours item,PK,PK,,330499,330499,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,8,"Skin, hair , botox , fillers threads,  cosmetic,  dermatological or cosmetological  device",Hebe skin hair laser clinic,IN,IN,,852580,852580,"Skin, hair , botox , fillers threads,  cosmetic,  dermatological or cosmetological  device","skin, hair , botox , fillers threads,  cosmetic,  dermatological or cosmetological  device",False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,9,cosmetic,farmson enterprise,IN,IN,,330499,330499,cosmetic,cosmetic,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,10,beauty products,None,PK,PK,,330499,330499,beauty products,beauty products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,11,cosmetic,stanford school,IN,IN,,330499,330499,cosmetic,cosmetic,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,12,Cosmetics,Jiyana Crafts,IN,IN,,330420,330420,Cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,13,makeup,Amazon.com,GB,GB,,330499,330499,makeup,makeup,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,14,cosmetics,BeeStudio,BD,BD,,330491,330491,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,15,Cosmetics,i have my own small business,PK,PK,,330499,330499,Cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,16,cosmetics,CMH Lahore Medical College / Institute of Dentistry,PK,PK,,340130,340130,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,17,Cosmetics,Scentaass Traders,PK,PK,,330499,330499,Cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,18,cosmetics,Eden Overseas,IN,IN,,330499,330499,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,19,Cosmetic makeup,Cosmetics,PK,PK,,330420,330420,Cosmetic makeup,cosmetic makeup,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,20,Makeup,Maahzu Closets,PK,PK,,330410,330410,Makeup,makeup,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,21,beauty products,xyz,PK,PK,,330499,330499,beauty products,beauty products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,22,cosmetic,sknautoshoppe,US,US,,330499,330499,cosmetic,cosmetic,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,23,cosmetics,kottram healthcare pvt Ltd,IN,IN,,330410,330410,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,24,beauty and bath product,SCPL,IN,IN,,340130,340130,beauty and bath product,beauty and bath product,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,25,COSMETICS,Atlaspot India Private Limited,IN,IN,,330499,330499,COSMETICS,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,26,Cosmetics,HDFC,IN,IN,,330499,330499,Cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,27,Beauty products,CommissionEmpire.com,US,US,,330499,330499,Beauty products,beauty products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,28,Cosmetic,Crompackindia,IN,IN,,340130,340130,Cosmetic,cosmetic,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,29,Cosmetics,Self employed,IN,IN,,340130,340130,Cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,30,Cosmetics,Tech Mahindra,IN,IN,,330499,330499,Cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,31,cosmetics,Comstar,PK,PK,,330499,330499,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,32,cosmetics and clothes,sway dance team,LK,LK,,621040,621040,cosmetics and clothes,cosmetics and clothes,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,33,Beauty products,Abrar Enterprises,IN,IN,,330499,330499,Beauty products,beauty products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,34,skin care products,online seller,PH,PH,,330499,330499,skin care products,skin care products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,35,Skincare and make up,None,PH,PH,,330499,330499,Skincare and make up,skincare and make up,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,36,Cosmetic etc,Myshoppingsolutiononline,ID,ID,,330499,330499,Cosmetic etc,cosmetic etc,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,37,All Skin care,Heritage Suites Hotel,KH,KH,,330410,330410,All Skin care,all skin care,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,38,cosmetics,3d Analyzer Information Technologies Inc.,PH,PH,,330499,330499,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,39,"Beauty products, collagen glutatione, sunblock lotion & soap",Blushing Blooms GRA Partner,PH,PH,,300490,300490,"Beauty products, collagen glutatione, sunblock lotion & soap","beauty products, collagen glutatione, sunblock lotion & soap",False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,40,Skin Care Products,de la salle araneta university,PH,PH,,901890,901890,Skin Care Products,skin care products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,41,"Beauty, Fashion",Jeunesse Global,PH,PH,,711311,711311,"Beauty, Fashion","beauty, fashion",False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,42,Beauty products,Nessessities,PH,PH,,691200,691200,Beauty products,beauty products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,43,Beauty Products,Trendz Marketing Official,PH,PH,,330499,330499,Beauty Products,beauty products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,44,API for cosmetics and pharma products,Pharmatree Inc,PH,PH,,293359,293359,API for cosmetics and pharma products,api for cosmetics and pharma products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,45,Cosmetics,AMZ,PH,PH,,330499,330499,Cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,46,cosmetics,housekeeping specialeast,PH,PH,,330790,330790,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,47,skin care,Sonrisa Dental,PH,PH,,330499,330499,skin care,skin care,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,48,packed foods and cosmetics,ABSCBN,PH,PH,,903180,903180,packed foods and cosmetics,packed foods and cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,49,Beauty products,Browlab Manila,PH,PH,,330499,330499,Beauty products,beauty products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,50,Cosmetics,Novee Laboratory Aesthetics Corporation,PH,PH,,330499,330499,Cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,51,Beauty products,Sitel Corporation Philippines,US,US,,330499,330499,Beauty products,beauty products,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,52,cosmetics,DMCI HOMES,PH,PH,,330499,330499,cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,53,Beauty,"Subaru of America, Inc.",US,US,,854370,854370,Beauty,beauty,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,54,Makeup lipstick,Many Faces with tay,US,US,,330410,330410,Makeup lipstick,makeup lipstick,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,55,beauty health wellness,cascade resale store,US,US,,330499,330499,beauty health wellness,beauty health wellness,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,56,Lipsticks,Roxbury Global Solutions INC,US,US,,330410,330410,Lipsticks,lipsticks,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,57,cosmetic,Layla's Lovelies,US,US,,330590,330590,cosmetic,cosmetic,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,58,"Cosmetic, health, fashion",Earth Pluse,CA,CA,,330499,330499,"Cosmetic, health, fashion","cosmetic, health, fashion",False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,59,Cosmetics,Kita Concepts,US,US,,330499,330499,Cosmetics,cosmetics,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,60,Makeup,Crowned in glory,US,US,,330499,330499,Makeup,makeup,False,,,,,2025-11-27
buyer_candidate,대한무역투자진흥공사_SNS마케팅수집바이어,SNS_마케팅_수집_바이어_정보_20251127,61,Beauty,State of Texas,US,US,,960329,960329,Beauty,beauty,False,,,,,2025-11-27
