REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE,REF_AREA_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,FREQ,OBS_STATUS,INDICATOR_LABEL
VEN,2011,WB_WDI_NY_GDP_MKTP_CD,3.16E+11,"Venezuela, RB",USD,US dollars,A,A,GDP (current US$)
VNM,2011,WB_WDI_NY_GDP_MKTP_CD,1.73E+11,Vietnam,USD,US dollars,A,A,GDP (current US$)
VIR,2011,WB_WDI_NY_GDP_MKTP_CD,4.22E+09,Virgin Islands (U.S.),USD,US dollars,A,A,GDP (current US$)
PSE,2011,WB_WDI_NY_GDP_MKTP_CD,1.12E+10,West Bank and Gaza,USD,US dollars,A,A,GDP (current US$)
YEM,2011,WB_WDI_NY_GDP_MKTP_CD,3.27E+10,"Yemen, Rep.",USD,US dollars,A,A,GDP (current US$)
ZMB,2011,WB_WDI_NY_GDP_MKTP_CD,2.35E+10,Zambia,USD,US dollars,A,A,GDP (current US$)
ZWE,2011,WB_WDI_NY_GDP_MKTP_CD,1.41E+10,Zimbabwe,USD,US dollars,A,A,GDP (current US$)
AFE,2012,WB_WDI_NY_GDP_MKTP_CD,9.69E+11,Eastern & Southern Africa,USD,US dollars,A,A,GDP (current US$)
AFW,2012,WB_WDI_NY_GDP_MKTP_CD,7.48E+11,Western & Central Africa,USD,US dollars,A,A,GDP (current US$)
ARB,2012,WB_WDI_NY_GDP_MKTP_CD,2.81E+12,Arab World,USD,US dollars,A,A,GDP (current US$)
CSS,2012,WB_WDI_NY_GDP_MKTP_CD,6.04E+10,Caribbean small states,USD,US dollars,A,A,GDP (current US$)
CEB,2012,WB_WDI_NY_GDP_MKTP_CD,1.36E+12,Central Europe and the Baltics,USD,US dollars,A,A,GDP (current US$)
VIR,2009,WB_WDI_NY_GDP_MKTP_CD,4.20E+09,Virgin Islands (U.S.),USD,US dollars,A,A,GDP (current US$)
PSE,2009,WB_WDI_NY_GDP_MKTP_CD,8.09E+09,West Bank and Gaza,USD,US dollars,A,A,GDP (current US$)
YEM,2009,WB_WDI_NY_GDP_MKTP_CD,2.51E+10,"Yemen, Rep.",USD,US dollars,A,A,GDP (current US$)
ZMB,2009,WB_WDI_NY_GDP_MKTP_CD,1.53E+10,Zambia,USD,US dollars,A,A,GDP (current US$)
ZWE,2009,WB_WDI_NY_GDP_MKTP_CD,9.67E+09,Zimbabwe,USD,US dollars,A,A,GDP (current US$)
AFE,2010,WB_WDI_NY_GDP_MKTP_CD,8.64E+11,Eastern & Southern Africa,USD,US dollars,A,A,GDP (current US$)
AFW,2010,WB_WDI_NY_GDP_MKTP_CD,6.06E+11,Western & Central Africa,USD,US dollars,A,A,GDP (current US$)
ARB,2010,WB_WDI_NY_GDP_MKTP_CD,2.16E+12,Arab World,USD,US dollars,A,A,GDP (current US$)
