REF_AREA,REF_AREA_LABEL,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE
VEN,"Venezuela, RB",WB_WDI_NY_GDP_MKTP_KD_ZG,2011,4.176425359,PC_A
VNM,Vietnam,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,6.413168897,PC_A
VIR,Virgin Islands (U.S.),WB_WDI_NY_GDP_MKTP_KD_ZG,2011,-8.204245554,PC_A
PSE,West Bank and Gaza,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,9.600808489,PC_A
YEM,"Yemen, Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,2011,-12.7148969,PC_A
ZMB,Zambia,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,5.569252193,PC_A
ZWE,Zimbabwe,WB_WDI_NY_GDP_MKTP_KD_ZG,2011,14.19391568,PC_A
AFE,Eastern & Southern Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,1.89717292,PC_A
AFW,Western & Central Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,5.129702994,PC_A
ARB,Arab World,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,5.493754229,PC_A
CSS,Caribbean small states,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,4.034856999,PC_A
CEB,Central Europe and the Baltics,WB_WDI_NY_GDP_MKTP_KD_ZG,2012,0.837956414,PC_A
VIR,Virgin Islands (U.S.),WB_WDI_NY_GDP_MKTP_KD_ZG,2009,-6.594788859,PC_A
PSE,West Bank and Gaza,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,8.593490879,PC_A
YEM,"Yemen, Rep.",WB_WDI_NY_GDP_MKTP_KD_ZG,2009,3.866229516,PC_A
ZMB,Zambia,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,9.220348406,PC_A
ZWE,Zimbabwe,WB_WDI_NY_GDP_MKTP_KD_ZG,2009,13.27205462,PC_A
AFE,Eastern & Southern Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,5.307904386,PC_A
AFW,Western & Central Africa,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,7.000739603,PC_A
ARB,Arab World,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,4.840642438,PC_A
CSS,Caribbean small states,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,1.858214499,PC_A
CEB,Central Europe and the Baltics,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,1.538478495,PC_A
EAR,Early-demographic dividend,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,6.381020862,PC_A
EAS,East Asia & Pacific,WB_WDI_NY_GDP_MKTP_KD_ZG,2010,7.62675266,PC_A
EAP,East Asia & Pacific (excluding high income),WB_WDI_NY_GDP_MKTP_KD_ZG,2010,9.897951121,PC_A
VNM,Vietnam,WB_WDI_NY_GDP_MKTP_KD_ZG,2006,6.977954811,PC_A
VIR,Virgin Islands (U.S.),WB_WDI_NY_GDP_MKTP_KD_ZG,2006,3.504993147,PC_A
