normalized_name,country_norm,contact_email,contact_website,classification,action
UNILEVERNIGERIA,나이지리아,consumercare.nigeria@unilever.com,www.unilevernigeria.com,related_possible,marked_estimated
VINACOSMO,베트남,vinacosmo@hcm.vnn.vn,http://www.cosmobeauty.co.jp,unrelated,marked_estimated
EVOLUESKINCARE,"287S.ROBERTSONBLVD.STE363,BEVERLYHILLS,CA90211",kristin@evoluebeauty.com,www.evolue.com,related_possible,marked_estimated
KOLMARLABORATORIES,미국,info@kolmar.com,http://www.kdc-one.com/network/kolmar/,unrelated,marked_estimated
ROSEDENUIT,"4841W.ROYALLN.IRVING,TX75063",hayan410@kumwon.co.kr,www.rosedenuit.com,unrelated,marked_estimated
PRETTYWOMAN,미국,shop@prettywomanusa.com,https://www.prettywomannyc.com/,related_possible,marked_estimated
UNIVERSEGENERALTRADINGSERVICESJOINTSTOCKCOMPANYUNIVERSEGENERALTRADINGSERVICESJSC,베트남,customercare@hsvgroup.com.vn,https://beautybox.com.vn/,unrelated,marked_estimated
OTELOYFABELL,에콰도르,pgomez@otelo.ec,www.otelofabell.com,related_possible,marked_estimated
BCM,영국,commercial.bcm@fareva.com,www.bcm-manufacturing.com,unrelated,marked_estimated
BEIERSDORF,아르헨티나,vanesa.tommaso@beiersdorf.com,www.beiersdorf.com.ar,related_possible,marked_estimated
DUNESCOSMETICS,알제리,info@dunescometics.com,www.dunescosmetics.com,unrelated,marked_estimated
ABCINDUSTRIES,아랍에미리트,abcind@abcindllc.com,http://www.coolandcool.ae,unrelated,marked_estimated
NIVEAINDIAPRIVATE,인도,kai-boris.bendix@beiersdorf.com,www.nivea.in,unrelated,marked_estimated
LUNACOFORPERFUMESANDCOSMETICSINDUSTRYPACSAEPAC,이집트,ayman.makram@lunapac.com,www.luna.com.eg,related_possible,marked_estimated
BEIERSDORF,칠레,Recepcion.Chile@Beiersdorf.com,www.beiersdorf.cl,related_possible,marked_estimated
TROBSPA,칠레,jbendov@trobchile.com,http://www.therepublicofbeauty.com,unrelated,marked_estimated
BEANDCARECAMBODIACOLTDLIPSANDLOVESTOREBMMYBEAUTYMAKEOVER,캄보디아,info@bccambodia.com,www.llstores.com,unrelated,marked_estimated
ADVANSVISLIMITEDLIABILITY,체코,ktodorov@advansvis.com,www.biofreshkosmetika.cz,unrelated,marked_estimated
MATTESCORPLIMITEDLIABILITY,체코,mattrad@mattesgroup.cz,www.mattesgroup.com,related_possible,marked_estimated
SOCIEDADDEINVERSIONESDJSPA,칠레,contacto@dbschile.cl,www.dbsbeautystore.cl,unrelated,marked_estimated
TALAYPUNATURALPRODUCTSCOMPANY,태국,info@talaypu.com,www.khaokhotalaypu.com,related_possible,marked_estimated
TLBTHAILANDCOMPANY,태국,prasopsan@tlbthailand.com,http://www.tlb-group.com,unrelated,marked_estimated
MILOTTLABORATORIESCOMPANY,태국,info@milott.co.th,http://www.milott.com,related_possible,marked_estimated
SEOULCOOLFORCOSMETICMATERIALSCOMPANYWLL,쿠웨이트,angie@seoulkool.me,www.seoulcool.me,unrelated,marked_estimated
AVENIRPACIFICPTY,이탈리아,info@n01cosmetics.com.au,www.avenirpacific.com.au,unrelated,marked_estimated
UNILEVERPHILIPPINES,필리핀,Eileen.Felizco@unilever.com,www.unilever.com.ph,related_possible,marked_estimated
LUSCIOUSCOSMETICSCOSMETICS,파키스탄,info@iloveluscious.com,www.lusciouscosmetics.pk,unrelated,marked_estimated
ANCHORINDUSTRIES,말라위,tkidy@noorgrp.co.mw,www.anchormw.wordpress.com,unrelated,marked_estimated
COSMALINESAL,레바논,procurement.cosmaline@maliagroup.com,www.cosmaline.com,unrelated,marked_estimated
JSCKOSMELITA,리투아니아,info@kosmelita.lt,www.eurokos.lt,unrelated,marked_estimated
NEVALINE,러시아연방,nikolaeva_a@parfum.spb.ru,www.psgrp.ru,unrelated,marked_estimated
SAGRUPP,러시아연방,info@promedtec.net,http://promedtec.ru/,related_possible,marked_estimated
KORNETSKIYMAKSIMSERGEEVICH,러시아연방,zakaz@emi-school.ru,https://emi-shop.ru/,unrelated,marked_estimated
ONEWAVE,프랑스,hello@onewave.de,www.whamisa.de,related_possible,marked_estimated
AJILABEAUTY,몽골,info@ajila.mn,www.ajila.mn(notworking),related_possible,marked_estimated
KURSGROUPDISTRIBUTION,러시아연방,press@alkor.co.ru,www.letoile.ru,unrelated,marked_estimated
STERNTEK,GOTENSTR.13D20097HAMBURG,contact@stern-tek.com,www.stern-tek.de,related_possible,marked_estimated
ARCADIABEAUTYLABS,미국,sbcs@sallybeauty.com,http://www.sallybeautyholdings.com,related_possible,marked_estimated
APRTRADELINKLLP,싱가포르,admin@iglow.sg,www.iglowbeautysg.wixsite.com,unrelated,marked_estimated
TAKASAGOINTERNATIONALSINGAPOREPTE,싱가포르,admin_tis@takasaga.com,www.takasago.com,unrelated,marked_estimated
ALMUSBAHGLOBALTRADING,사우디아라비아,info@almsbahgroup.com,http://www.almusbah.com/(Group'swebsite),unrelated,marked_estimated
SAOVIETINDUSTRIALTECHNOLOGYCOLTDSAVIINTECHCOLTD,베트남,saviintech@saviintech.vn,https://www.saviintech.com,related_possible,marked_estimated
BEAUTYDRIVE,벨라루스,top.marketing@lorel.by,http://beautydrive.by/,unrelated,marked_estimated
Delicate Cosmetics Inc.,미국,customerservice@delicatecosmetics.net,http://www.delicatecosmetics.com,related_possible,marked_estimated
Dermalogica,미국,info@stagheaddesigns.com,http://dermalogica.com,unrelated,marked_estimated
Filltech Usa,미국,sales@filltech.co.uk,http://www.filltech.com,related_possible,marked_estimated
